AG_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
RS_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=True
nblocks=16, n_parallel_sm_blocks=1, n_parallel_reduce_blocks=1
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_coll_re_synced.cu::pipeline_reduceScatter_coll_re_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
             6291456               65536              127.03              127.03               49.53               49.53
             6291456              131072               95.90               95.90               65.61               65.61
             6291456              262144               95.18               95.18               66.10               66.10
             6291456              524288               97.31               97.31               64.65               64.65
             6291456             1048576               98.45               98.45               63.91               63.91
             6291456             2097152               98.98               98.98               63.56               63.56
             6291456             4194304               99.95               99.95               62.94               62.94
             6291456             8388608               98.27               98.27               64.02               64.02
             6291456            16777216               97.66               97.66               64.42               64.42
             6291456            33554432               98.02               98.02               64.19               64.19
             6291456            67108864               98.74               98.74               63.71               63.71
            12582912               65536              221.66              221.66               56.77               56.77
