AG_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
RS_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=True, n_pipeline=1
nblocks=14, n_parallel_sm_blocks=1, n_parallel_reduce_blocks=0
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_coll_re_synced.cu::pipeline_reduceScatter_coll_re_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
              393216             2097152               83.44               83.44                4.71                4.71
              393216             4194304               83.48               83.48                4.71                4.71
              786432               65536               86.86               86.86                9.05                9.05
              786432              131072               86.70               86.70                9.07                9.07
              786432              262144               86.82               86.82                9.06                9.06
              786432              524288               86.49               86.49                9.09                9.09
              786432             1048576               87.46               87.46                8.99                8.99
              786432             2097152               87.28               87.28                9.01                9.01
              786432             4194304               87.14               87.14                9.02                9.02
             1572864               65536               92.83               92.83               16.94               16.94
             1572864              131072               92.70               92.70               16.97               16.97
